id,obra,lugar,tipo,región,zona,continente,lat,lng,autor,composición,publicación,Libro
https://www.geonames.org/2523119,"La Bague de l’oubli, comédie",Sicilia,región,,Italia,Europa,37.75,14.25,Jean de Rotrou,1629,1635,
https://www.geonames.org/2523920,"La Céliane, tragicomédie",Palermo,ciudad,Sicilia,Italia,Europa,38.13205,13.33561,Jean de Rotrou,c. 1630-1633,1637,
https://www.geonames.org/2523119,"Les Occasions perdues, tragi­comédie",Sicilia,región,,Italia,Europa,37.75,14.25,Jean de Rotrou,c. 1631-1633,1635,
https://www.geonames.org/3117766,"Les Occasions perdues, tragi­comédie",Nápoles,ciudad,Aragón,Italia,Europa,40.8563100,14.2464100,Jean de Rotrou,c. 1631-1633,1635,
https://www.geonames.org/719819,"L’heureuse Constance, tragicomédie",Hungría,país,,,Europa,47,20,Jean de Rotrou,c. 1630-1633,1637,
https://pleiades.stoa.org/places/197240,"L’heureuse Constance, tragicomédie",Dalmacia,región,,,Europa,43.539561,16.483426,Jean de Rotrou,c. 1630-1633,1637,
http://www.geonames.org/2988506,"La Diane, comédie ",París,ciudad,,Francia,Europa,48.85339,2.34864,Jean de Rotrou,c. 1632-1633,1635,
http://www.geonames.org/2485920,La Belle Alphrède,Orán,ciudad,,Argelia,África,35.66667,-0.5,Jean de Rotrou,c. 1635-1636,1639,
https://www.geonames.org/2643743,La Belle Alphrède,Londres,ciudad,,Inglaterra,Europa,51.50853,-0.12574,Jean de Rotrou,c. 1635-1636,1639,
https://www.geonames.org/719819,"Laure persécutée, tragi­comédie",Hungría,país,,,Europa,47,20,Jean de Rotrou,c. 1648-1649,,
https://pleiades.stoa.org/places/502866838,"Le véritable Saint-Genest, tragédie ",Roma,ciudad,,Imperio romano,Europa,41.8925745251,12.4847567763,Jean de Rotrou,1645,1647,
https://pleiades.stoa.org/places/922695,"Cosroès, tragédie",Persia,país,,Imperio persa,Asia,29.9353403333,52.889437,Jean de Rotrou,1648,1649,
https://www.geonames.org/3104324,"Don Lope de Cardone, tragi­comédie",Zaragoza,ciudad,Aragón,España,Europa,41.65606,-0.87734,Jean de Rotrou,1649,1652,
